Desc	Orthogroup	ChaenocephalusAceratus	ClupeaHarengus	DanioRerio	GasterosteusAculeatus	HarpadonNehereus	HippocampusComes	LepisosteusOculatus	LiparisTanakae	PseudoliparisSwirei	SauridaUndosquamis	TakifuguRubripes
(null)	OG0000167	4	5	5	5	5	4	3	5	4	6	5
(null)	OG0000168	5	7	5	4	4	4	3	6	3	5	5
(null)	OG0000169	4	3	5	9	0	0	0	15	14	1	0
(null)	OG0000170	8	6	6	7	2	1	2	4	1	9	4
(null)	OG0000171	3	9	14	2	5	0	5	3	3	5	1
(null)	OG0000172	6	4	9	4	5	5	3	3	3	4	4
(null)	OG0000173	5	6	5	5	4	6	3	4	5	3	4
(null)	OG0000174	32	0	5	0	3	0	0	2	7	1	0
(null)	OG0000175	7	4	4	2	7	4	5	4	5	6	2
(null)	OG0000176	5	9	6	2	3	2	1	3	3	5	11
(null)	OG0000177	6	3	4	6	5	5	2	4	6	5	4
(null)	OG0000178	4	12	1	17	0	0	16	0	0	0	0
(null)	OG0000179	8	5	11	5	4	5	0	4	1	4	3
(null)	OG0000180	0	5	8	6	5	1	4	6	6	8	1
(null)	OG0000181	0	0	50	0	0	0	0	0	0	0	0
(null)	OG0000182	0	0	0	0	49	0	0	0	0	1	0
(null)	OG0000183	19	4	2	6	4	2	2	4	4	2	0
(null)	OG0000184	5	4	5	4	5	5	3	4	4	5	5
(null)	OG0000185	13	1	20	0	4	3	0	1	2	5	0
(null)	OG0000186	5	5	4	4	5	5	3	4	4	4	5
(null)	OG0000187	2	5	3	5	5	4	4	5	6	5	4
(null)	OG0000188	16	0	0	0	6	0	0	3	8	14	1
(null)	OG0000189	5	5	6	5	5	4	3	5	3	4	3
(null)	OG0000190	10	0	1	7	12	2	1	0	11	4	0
(null)	OG0000191	4	7	6	2	8	3	4	1	2	7	4
(null)	OG0000192	5	5	5	3	6	4	3	4	3	6	4
(null)	OG0000193	5	4	3	5	4	6	1	5	6	5	4
(null)	OG0000194	6	5	5	4	5	4	4	3	5	4	3
(null)	OG0000195	0	1	1	0	2	0	0	1	17	26	0
(null)	OG0000196	5	5	5	3	5	4	2	3	5	5	5
(null)	OG0000197	5	5	5	5	4	4	3	4	4	3	5
